city,jan_avg,jul_avg
Capital,,
Tirana,7,24
Andorra la Vella,,
Vienna,-1,19
Minsk,-5,20
Brussels,3,18
Sarajevo,-2,19
Sofia,-1,21
Zagreb,0,21
Nicosia,11,26
Prague,-1,18
Copenhagen,0,17
Tallinn,-4,18
Helsinki,-5,17
Paris,5,20
Berlin,-1,18
Athens,10,29
Budapest,-1,21
Reykjavik,0,11
Dublin,5,16
Rome,8,26
Pristina,,
Riga,-4,17
Vaduz,,
Vilnius,-5,17
Luxembourg,0,18
Skopje,1,24
Valletta,13,26
Chisinau,-3,21
Monaco,10,24
Podgorica,5,26
Amsterdam,3,17
Oslo,-3,18
Warsaw,-2,18
Lisbon,11,24
Bucharest,-2,22
Moscow,-8,19
San Marino,5,24
Belgrade,2,23
Bratislava,-1,21
Ljubljana,-2,20
Madrid,6,25
Stockholm,-3,18
Bern,-1,17
Ankara,-1,20
Kiev,-5,19
London,5,19
Vatican City,7,25
