Country_or_Territory,Population,Capital
Albania,"2,994,667",Tirana
Andorra,"84,082",Andorra la Vella
Austria,"8,217,280",Vienna
Belarus,"9,434,000",Minsk
Belgium,"10,431,477",Brussels
Bosnia and Herzegovina,"3,890,000",Sarajevo
Bulgaria,"7,093,635",Sofia
Croatia,"4,290,612",Zagreb
Cyprus,"803,200",Nicosia
Czech Republic,"10,190,213",Prague
Denmark,"5,529,888",Copenhagen
Estonia,"1,282,963",Tallinn
Finland,"5,259,250",Helsinki
France,"63,248,000",Paris
Germany,"81,440,000",Berlin
Greece,"10,760,136",Athens
Hungary,"9,976,062",Budapest
Iceland,"311,058",Reykjavík
Ireland,"4,581,269",Dublin
Italy,"60,681,514",Rome
Kosovo,"1,733,872",Pristina
Latvia,"2,204,708",Riga
Liechtenstein,"35,236",Vaduz
Lithuania,"3,207,100",Vilnius
Luxembourg,"503,302",Luxembourg
North Macedonia,"2,055,004",Skopje
Malta,"408,333",Valletta
Moldova,"3,560,400",Chişinău
Monaco,"30,539",Monaco
Montenegro,"625,266",Podgorica
Netherlands,"16,695,000",Amsterdam
Norway,"4,691,849",Oslo
Poland,"38,038,000",Warsaw
Portugal,"10,555,853",Lisbon
Romania,"19,042,936",Bucharest
Russia,"138,739,892",Moscow
San Marino,"31,817",San Marino
Serbia,"7,310,555",Belgrade
Slovakia,"5,435,273",Bratislava
Slovenia,"2,000,092",Ljubljana
Spain,"46,144,000",Madrid
Sweden,"9,088,728",Stockholm
Switzerland,"7,639,961",Bern
Turkey,"72,153,000",Ankara
Ukraine,"45,134,707",Kiev
United Kingdom,"62,300,000",London
Vatican City,800,Vatican City
