country,index
Albania,7.22
Austria,6.06
Belarus,3.38
Belgium,6.16
Bosnia and Herzegovina,2.71
Bulgaria,2.42
Croatia,2.39
Cyprus,5.41
Czech Republic,2.26
Denmark,7.09
Estonia,2.37
Finland,6.58
France,6.46
Germany,7.09
Greece,3.34
Hungary,1.69
Iceland,8.26
Ireland,7.74
Italy,6.49
Kosovo,4.17
Latvia,2.04
Lithuania,2.72
Luxembourg,7.54
Malta,4.95
Moldova,3.80
Montenegro,1.63
Netherlands,7.46
Norway,7.73
Poland,3.31
Portugal,6.65
Romania,2.93
Russia,2.60
Serbia,1.80
Slovakia,1.83
Slovenia,4.42
Spain,7.44
Sweden,7.92
Switzerland,7.21
Turkey,3.27
Ukraine,3.15
United Kingdom,6.61
