city,lat,lng,shortest_day,longest_day
Tirana,41.3268733,19.8187913,09:11:25,15:09:57
Andorra la Vella,42.5069391,1.5212467,09:03:41,15:18:15
Vienna,48.2083537,16.3725042,08:20:36,16:04:51
Minsk,53.902334,27.5618791,07:23:43,17:07:36
Brussels,50.8465573,4.351697,07:56:29,16:31:16
Sarajevo,43.8519774,18.3866868,08:54:25,15:28:12
Sofia,42.6978634,23.3221789,09:02:23,15:19:37
Zagreb,45.813177,15.977048,08:40:00,15:43:47
Nicosia,35.1808915,33.3732586,09:47:12,14:31:52
Prague,50.0874654,14.4212535,08:03:46,16:23:16
Copenhagen,55.6867243,12.5700724,07:01:25,17:32:39
Tallinn,59.4372155,24.7453688,06:03:14,18:39:46
Helsinki,60.1674098,24.9425769,05:49:25,18:56:11
Paris,48.8566969,2.3514616,08:14:59,16:10:59
Berlin,52.5170365,13.3888599,07:39:19,16:50:14
Athens,33.9597677,-83.376398,09:53:34,14:25:08
Budapest,47.4983815,19.0404707,08:26:35,15:58:21
Reykjavik,64.2445036,-21.7692636,04:04:32,21:14:31
Dublin,53.3497645,-6.2602732,07:30:07,17:00:29
Rome,41.894802,12.4853384,09:07:44,15:13:53
Pristina,42.6638771,21.1640849,09:02:37,15:19:23
Riga,56.9493977,24.1051846,06:43:49,17:52:41
Vaduz,47.1392862,9.5227962,08:29:31,15:55:08
Vilnius,54.6870458,25.2829111,07:14:15,17:18:12
Luxembourg,49.8158683,6.1296751,08:06:18,16:20:29
Skopje,41.9960924,21.4316495,09:07:05,15:14:36
Valletta,35.8989818,14.5136759,09:43:22,14:35:56
Chisinau,47.0244707,28.8322534,08:30:27,15:54:08
Monaco,43.7384402,7.4242474,08:55:13,15:27:21
Podgorica,42.4415238,19.2621081,09:04:07,15:17:46
Amsterdam,52.3745403,4.8979755,07:40:51,16:48:32
Oslo,59.9133301,10.7389701,05:54:21,18:50:18
Warsaw,52.2319237,21.0067265,07:42:22,16:46:51
Lisbon,38.7077507,-9.1365919,09:27:32,14:52:44
Bucharest,44.4361414,26.1027202,08:50:14,15:32:42
Moscow,55.7504461,37.6174943,07:00:34,17:33:38
San Marino,43.9458623,12.458306,08:53:45,15:28:55
Belgrade,44.8178131,20.4568974,08:47:27,15:35:43
Bratislava,48.1516988,17.1093063,08:21:06,16:04:19
Ljubljana,46.0499803,14.5068602,08:38:10,15:45:45
Madrid,40.4167047,-3.7035825,09:17:12,15:03:47
Stockholm,59.3251172,18.0710935,06:05:16,18:37:22
Bern,46.9482713,7.4514512,08:31:04,15:53:28
Ankara,39.9207774,32.854067,09:20:14,15:00:31
Kiev,50.4500336,30.5241361,08:00:19,16:27:03
London,51.5073219,-0.1276474,07:49:53,16:38:33
Vatican City,41.9034912,12.4528349,09:07:41,15:13:57
